Date,USDJPY
2010/12/30,81.618
2010/12/31,81.48
2011/1/3,81.123
2011/1/4,81.67
2011/1/5,82.038
2011/1/6,83.189
2011/1/7,83.3
2011/1/10,83.03
2011/1/11,82.71
2011/1/12,83.34
2011/1/13,83.07
2011/1/14,82.762
2011/1/17,82.887
2011/1/18,82.67
2011/1/19,82.612
2011/1/20,82.155
2011/1/21,82.92
2011/1/24,82.586
2011/1/25,82.542
2011/1/26,82.26
2011/1/27,82.163
2011/1/28,82.885
2011/1/31,82.089
2011/2/1,82.07
2011/2/2,81.391
2011/2/3,81.493
2011/2/4,81.65
2011/2/7,82.22
2011/2/8,82.289
2011/2/9,82.303
2011/2/10,82.419
2011/2/11,83.34
2011/2/14,83.444
2011/2/15,83.413
2011/2/16,83.716
2011/2/17,83.61
2011/2/18,83.29
2011/2/21,83.08
2011/2/22,83.066
2011/2/23,82.76
2011/2/24,82.438
2011/2/25,82.047
2011/2/28,81.622
2011/3/1,81.873
2011/3/2,81.898
2011/3/3,81.828
2011/3/4,82.367
2011/3/7,82.343
2011/3/8,82.292
2011/3/9,82.8
2011/3/10,82.833
2011/3/11,82.918
2011/3/14,81.284
2011/3/15,81.82
2011/3/16,81.056
2011/3/17,79.128
2011/3/18,79.5
2011/3/21,81.015
2011/3/22,81.209
2011/3/23,81.039
2011/3/24,80.867
2011/3/25,81.014
2011/3/27,81.449
2011/3/28,81.76
2011/3/29,82.411
2011/3/30,83.15
2011/3/31,83.36
2011/4/1,83.36
2011/4/3,84.22
2011/4/4,84.13
2011/4/5,85.16
2011/4/6,85.32
2011/4/7,84.96
2011/4/8,84.96
2011/4/10,85.04
2011/4/11,84.63
2011/4/12,83.6
2011/4/13,83.783
2011/4/14,83.783
2011/4/15,83.783
2011/4/17,83.147
2011/4/18,82.334
2011/4/19,82.58
2011/4/20,82.44
2011/4/21,81.897
2011/4/22,81.897
2011/4/24,81.87
2011/4/25,81.84
2011/4/26,81.511
2011/4/27,82.204
2011/4/28,81.53
2011/4/29,81.53
2011/5/1,81.227
2011/5/2,81.18
2011/5/3,80.969
2011/5/4,80.64
2011/5/5,80.417
2011/5/6,80.417
2011/5/8,80.734
2011/5/9,80.242
2011/5/10,81.011
2011/5/11,81.01
2011/5/12,81.04
2011/5/13,81.04
2011/5/15,80.817
2011/5/16,80.782
2011/5/17,81.421
2011/5/18,81.661
2011/5/19,81.714
2011/5/20,81.714
2011/5/22,81.74
2011/5/23,81.957
2011/5/24,82.048
2011/5/25,82.022
2011/5/26,81.27
2011/5/27,81.27
2011/5/29,80.831
2011/5/30,80.88
2011/5/31,81.453
2011/6/1,80.894
2011/6/2,80.97
2011/6/3,80.97
2011/6/5,80.22
2011/6/6,80.12
2011/6/7,80.17
2011/6/8,79.89
2011/6/9,80.29
2011/6/10,80.29
2011/6/12,80.34
2011/6/13,80.176
2011/6/14,80.54
2011/6/15,80.88
2011/6/16,80.577
2011/6/17,80.577
2011/6/19,80.076
2011/6/20,80.234
2011/6/21,80.221
2011/6/22,80.383
2011/6/23,80.44
2011/6/24,80.44
2011/6/26,80.46
2011/6/27,80.85
2011/6/28,81.08
2011/6/29,80.71
2011/6/30,80.6
2011/7/1,80.6
2011/7/3,80.88
2011/7/4,80.733
2011/7/5,81.07
2011/7/6,80.938
2011/7/7,81.23
2011/7/8,81.23
2011/7/10,80.65
2011/7/11,80.29
2011/7/12,79.318
2011/7/13,78.92
2011/7/14,79.18
2011/7/15,79.18
2011/7/17,79.113
2011/7/18,79.05
2011/7/19,79.126
2011/7/20,78.754
2011/7/21,78.584
2011/7/22,78.584
2011/7/24,78.38
2011/7/25,78.3
2011/7/26,77.914
2011/7/27,77.93
2011/7/28,77.73
2011/7/29,77.73
2011/7/31,77.213
2011/8/1,77.46
2011/8/2,77.335
2011/8/3,77.112
2011/8/4,79.29
2011/8/5,79.29
2011/8/7,78.254
2011/8/8,77.585
2011/8/9,77.05
2011/8/10,76.759
2011/8/11,76.86
2011/8/12,76.86
2011/8/14,76.82
2011/8/15,76.84
2011/8/16,76.754
2011/8/17,76.547
2011/8/18,76.637
2011/8/19,76.637
2011/8/21,76.786
2011/8/22,76.832
2011/8/23,76.66
2011/8/24,77.053
2011/8/25,77.435
2011/8/26,77.435
2011/8/28,76.682
2011/8/29,76.933
2011/8/30,76.701
2011/8/31,76.73
2011/9/1,76.86
2011/9/2,76.86
2011/9/4,76.902
2011/9/5,76.902
2011/9/6,77.618
2011/9/7,77.301
2011/9/8,77.508
2011/9/9,77.508
2011/9/11,77.463
2011/9/12,77.18
2011/9/13,76.932
2011/9/14,76.677
2011/9/15,76.734
2011/9/16,76.734
2011/9/18,76.91
2011/9/19,76.596
2011/9/20,76.463
2011/9/21,76.538
2011/9/22,76.306
2011/9/23,76.306
2011/9/25,76.54
2011/9/26,76.336
2011/9/27,76.808
2011/9/28,76.54
2011/9/29,76.765
2011/9/30,76.765
2011/10/2,77.19
2011/10/3,76.592
2011/10/4,76.76
2011/10/5,76.782
2011/10/6,76.658
2011/10/7,76.658
2011/10/9,76.77
2011/10/10,76.66
2011/10/11,76.667
2011/10/12,77.18
2011/10/13,76.88
2011/10/14,76.88
2011/10/16,77.22
2011/10/17,76.831
2011/10/18,76.777
2011/10/19,76.8
2011/10/20,76.86
2011/10/21,76.86
2011/10/23,76.21
2011/10/24,76.132
2011/10/25,76.109
2011/10/26,76.184
2011/10/27,75.93
2011/10/28,75.93
2011/10/31,75.74
2011/11/1,78.308
2011/11/2,78.306
2011/11/3,78.139
2011/11/4,78.053
2011/11/7,78.13
2011/11/8,78.077
2011/11/9,77.708
2011/11/10,77.758
2011/11/11,77.652
2011/11/14,77.156
2011/11/15,77.079
2011/11/16,77.06
2011/11/17,77.061
2011/11/18,76.958
2011/11/21,76.839
2011/11/22,76.9
2011/11/23,76.97
2011/11/24,77.272
2011/11/25,77.166
2011/11/28,77.667
2011/11/29,78.081
2011/11/30,77.96
2011/12/1,77.583
2011/12/2,77.75
2011/12/5,78.08
2011/12/6,77.812
2011/12/7,77.75
2011/12/8,77.673
2011/12/9,77.68
2011/12/12,77.612
2011/12/13,77.939
2011/12/14,77.961
2011/12/15,78.108
2011/12/16,77.84
2011/12/19,77.81
2011/12/20,78.01
2011/12/21,77.84
2011/12/22,78.07
2011/12/23,78.16
2011/12/26,78.08
2011/12/27,78.03
2011/12/28,77.87
2011/12/29,77.946
2011/12/30,77.659
2012/1/2,77.02
2012/1/3,76.93
2012/1/4,76.722
2012/1/5,76.71
2012/1/6,77.151
2012/1/9,76.91
2012/1/10,76.86
2012/1/11,76.85
2012/1/12,76.858
2012/1/13,76.779
2012/1/16,76.91
2012/1/17,76.82
2012/1/18,76.82
2012/1/19,76.767
2012/1/20,77.08
2012/1/23,76.96
2012/1/24,77
2012/1/25,77.687
2012/1/26,77.77
2012/1/27,77.46
2012/1/30,76.732
2012/1/31,76.36
2012/2/1,76.27
2012/2/2,76.189
2012/2/3,76.18
2012/2/6,76.551
2012/2/7,76.55
2012/2/8,76.79
2012/2/9,77.06
2012/2/10,77.632
2012/2/13,77.7
2012/2/14,77.51
2012/2/15,78.36
2012/2/16,78.48
2012/2/17,78.824
2012/2/20,79.788
2012/2/21,79.586
2012/2/22,79.83
2012/2/23,80.28
2012/2/24,79.93
2012/2/27,81.471
2012/2/28,80.464
2012/2/29,80.48
2012/3/1,81.276
2012/3/2,81.12
2012/3/5,81.627
2012/3/6,81.518
2012/3/7,80.66
2012/3/8,81.338
2012/3/9,81.58
2012/3/12,82.373
2012/3/13,82.363
2012/3/14,82.96
2012/3/15,83.84
2012/3/16,83.492
2012/3/19,83.45
2012/3/20,83.37
2012/3/21,83.65
2012/3/22,83.203
2012/3/23,82.51
2012/3/25,82.589
2012/3/26,82.987
2012/3/27,83.048
2012/3/28,82.832
2012/3/29,82.273
2012/3/30,82.273
2012/4/1,82.87
2012/4/2,81.54
2012/4/3,82.83
2012/4/4,82.44
2012/4/5,82.27
2012/4/6,82.27
2012/4/8,81.33
2012/4/9,81.643
2012/4/10,80.694
2012/4/11,81.008
2012/4/12,80.93
2012/4/13,80.93
2012/4/15,80.902
2012/4/16,80.381
2012/4/17,81.06
2012/4/18,81.3
2012/4/19,81.609
2012/4/20,81.609
2012/4/22,81.6
2012/4/23,81.08
2012/4/24,81.39
2012/4/25,81.3
2012/4/26,81.058
2012/4/27,81.058
2012/4/29,80.35
2012/4/30,79.921
2012/5/1,80.21
2012/5/2,80.121
2012/5/3,80.21
2012/5/4,80.21
2012/5/6,79.818
2012/5/7,79.92
2012/5/8,79.86
2012/5/9,79.71
2012/5/10,79.869
2012/5/11,79.869
2012/5/13,80.03
2012/5/14,79.85
2012/5/15,80.325
2012/5/16,80.35
2012/5/17,79.408
2012/5/18,79.408
2012/5/20,79.17
2012/5/21,79.41
2012/5/22,80.004
2012/5/23,79.42
2012/5/24,79.66
2012/5/25,79.66
2012/5/27,79.59
2012/5/28,79.561
2012/5/29,79.5
2012/5/30,78.982
2012/5/31,78.528
2012/6/1,78.528
2012/6/3,78.1
2012/6/4,78.361
2012/6/5,78.73
2012/6/6,79.27
2012/6/7,79.69
2012/6/8,79.69
2012/6/10,79.56
2012/6/11,79.307
2012/6/12,79.527
2012/6/13,79.372
2012/6/14,79.422
2012/6/15,79.422
2012/6/17,79.052
2012/6/18,79
2012/6/19,79.034
2012/6/20,79.421
2012/6/21,80.02
2012/6/22,80.02
2012/6/24,80.56
2012/6/25,79.65
2012/6/26,79.46
2012/6/27,79.685
2012/6/28,79.313
2012/6/29,79.313
2012/7/1,79.839
2012/7/2,79.44
2012/7/3,79.84
2012/7/4,79.94
2012/7/5,79.86
2012/7/6,79.86
2012/7/8,79.478
2012/7/9,79.558
2012/7/10,79.35
2012/7/11,79.61
2012/7/12,79.31
2012/7/13,79.31
2012/7/15,79.17
2012/7/16,78.82
2012/7/17,79.096
2012/7/18,78.799
2012/7/19,78.74
2012/7/20,78.74
2012/7/22,78.45
2012/7/23,78.311
2012/7/24,78.107
